"","monthdth","age","fips","sex","deaths","year"
"1",6,NA,"42101",2,1,2010
"2",5,NA,"42101",2,1,2010
"3",8,NA,"42011",2,1,2010
"4",7,NA,"42011",2,1,2010
"5",8,NA,"36105",2,1,2010
"6",12,NA,"36103",2,4,2010
"7",1,NA,"12073",2,1,2010
"8",7,NA,"06075",2,1,2010
"9",9,NA,"06073",2,1,2010
"10",2,NA,"06071",2,1,2010
"11",2,NA,"06065",2,1,2010
"12",10,NA,"06037",2,2,2010
"13",9,NA,"06037",2,1,2010
"14",4,NA,"06037",2,1,2010
"15",11,NA,"51650",1,1,2010
"16",6,NA,"51540",1,1,2010
"17",12,NA,"51199",1,1,2010
"18",8,NA,"51153",1,1,2010
"19",2,NA,"51087",1,1,2010
"20",10,NA,"51029",1,1,2010
"21",9,NA,"48201",1,1,2010
"22",7,NA,"48201",1,1,2010
"23",2,NA,"48113",1,1,2010
"24",12,NA,"48029",1,1,2010
"25",9,NA,"48021",1,1,2010
"26",4,NA,"45017",1,1,2010
"27",7,NA,"42045",1,1,2010
"28",8,NA,"42011",1,3,2010
"29",7,NA,"37135",1,1,2010
"30",9,NA,"37127",1,2,2010
"31",6,NA,"36103",1,1,2010
"32",1,NA,"36103",1,1,2010
"33",10,NA,"36059",1,2,2010
"34",2,NA,"36059",1,1,2010
"35",12,NA,"36007",1,1,2010
"36",1,NA,"34031",1,1,2010
"37",12,NA,"29095",1,1,2010
"38",11,NA,"28049",1,1,2010
"39",11,NA,"24510",1,1,2010
"40",8,NA,"23019",1,1,2010
"41",2,NA,"23011",1,1,2010
"42",1,NA,"22087",1,1,2010
"43",12,NA,"18063",1,1,2010
"44",10,NA,"17031",1,1,2010
"45",7,NA,"17031",1,1,2010
"46",5,NA,"17031",1,1,2010
"47",7,NA,"15001",1,1,2010
"48",5,NA,"12095",1,1,2010
"49",10,NA,"12057",1,1,2010
"50",12,NA,"12031",1,1,2010
"51",11,NA,"09009",1,1,2010
"52",1,NA,"09007",1,1,2010
"53",11,NA,"06075",1,1,2010
"54",2,NA,"06075",1,1,2010
"55",12,NA,"06073",1,1,2010
"56",10,NA,"06065",1,1,2010
"57",2,NA,"06037",1,1,2010
"58",1,NA,"06037",1,1,2010
"59",10,NA,"06025",1,1,2010
"60",12,NA,"06013",1,1,2010
"61",12,NA,"06001",1,1,2010
"62",7,NA,"05009",1,1,2010
"63",5,NA,"36105",1,1,2010
"64",3,NA,"34013",1,1,2010
"65",3,NA,"06037",1,1,2010
"66",3,NA,"09001",1,1,2010
"67",3,NA,"15003",1,1,2010
"68",5,NA,"06037",2,1,2010
"69",6,NA,"42045",1,1,2010
"70",11,NA,"06001",1,1,2010
"71",2,NA,"51760",1,1,2010
"72",4,NA,"24510",1,1,2010
"73",4,NA,"23025",1,1,2010
"74",4,NA,"29095",1,1,2010
"75",2,NA,"37195",1,1,2010
"76",11,NA,"12057",1,1,2010
"77",10,NA,"06001",2,1,2010
"78",5,NA,"36007",2,1,2010
"79",5,NA,"29510",1,1,2010
"80",4,85,"18115",2,1,2010
"81",3,NA,"45051",2,1,2010
"82",8,NA,"06025",1,1,2010
"83",12,NA,"48061",2,1,2010
"84",8,NA,"06075",2,2,2010
"85",9,NA,"42101",2,1,2010
"86",11,NA,"36059",2,2,2010
"87",12,NA,"36059",2,1,2010
"88",12,NA,"17031",2,1,2010
"89",3,NA,"37147",1,1,2010
"90",6,NA,"53061",1,1,2010
"91",3,NA,"51041",1,1,2010
"92",5,NA,"42101",1,1,2010
"93",5,NA,"06067",2,1,2010
"94",6,NA,"24510",1,1,2010
"95",8,NA,"06001",1,1,2010
"96",12,NA,"37147",1,1,2010
"97",12,NA,"12057",2,1,2010
"98",3,NA,"28049",2,1,2010
"99",10,NA,"37127",1,1,2010
"100",4,NA,"18113",1,1,2010
"101",9,NA,"37067",2,1,2010
"102",9,NA,"37081",2,1,2010
"103",4,NA,"06075",2,1,2010
"104",10,NA,"45079",1,1,2010
"105",5,NA,"48029",1,1,2010
"106",12,NA,"36059",1,1,2010
"107",1,NA,"12073",1,1,2010
"108",11,NA,"09007",1,1,2010
"109",5,NA,"06037",1,1,2010
"110",4,NA,"48201",1,1,2010
"111",9,NA,"17031",2,1,2010
