"","monthdth","age","fips","sex","deaths","year"
"1",7,NA,"48355",2,1,2006
"2",10,NA,"48223",2,1,2006
"3",11,NA,"47157",2,1,2006
"4",7,NA,"42101",2,1,2006
"5",1,NA,"42101",2,3,2006
"6",4,NA,"34011",2,1,2006
"7",4,NA,"26049",2,1,2006
"8",5,NA,"17031",2,1,2006
"9",4,NA,"10003",2,1,2006
"10",7,NA,"06087",2,1,2006
"11",2,NA,"06081",2,1,2006
"12",8,NA,"06073",2,1,2006
"13",9,NA,"06057",2,1,2006
"14",9,NA,"04017",2,1,2006
"15",11,NA,"04013",2,1,2006
"16",9,NA,"04013",2,1,2006
"17",8,NA,"04013",2,2,2006
"18",7,NA,"04013",2,1,2006
"19",4,NA,"04013",2,1,2006
"20",2,NA,"04012",2,1,2006
"21",12,NA,"53033",1,1,2006
"22",9,NA,"51775",1,1,2006
"23",10,NA,"51059",1,1,2006
"24",2,NA,"49045",1,1,2006
"25",3,NA,"49035",1,1,2006
"26",11,NA,"48479",1,1,2006
"27",8,NA,"48213",1,1,2006
"28",8,NA,"48099",1,1,2006
"29",8,NA,"47187",1,1,2006
"30",2,NA,"47093",1,1,2006
"31",8,NA,"47065",1,1,2006
"32",4,NA,"45087",1,1,2006
"33",8,NA,"45059",1,1,2006
"34",11,NA,"45045",1,1,2006
"35",7,NA,"45045",1,1,2006
"36",11,NA,"42101",1,1,2006
"37",8,NA,"42101",1,1,2006
"38",7,NA,"42101",1,1,2006
"39",6,NA,"42101",1,2,2006
"40",7,NA,"42045",1,1,2006
"41",4,NA,"42045",1,1,2006
"42",10,NA,"37133",1,1,2006
"43",11,NA,"37051",1,1,2006
"44",2,NA,"36059",1,1,2006
"45",12,NA,"36029",1,1,2006
"46",6,NA,"36029",1,1,2006
"47",8,NA,"36007",1,1,2006
"48",2,NA,"35061",1,1,2006
"49",10,NA,"34013",1,1,2006
"50",4,NA,"34013",1,1,2006
"51",1,NA,"34013",1,1,2006
"52",7,NA,"34001",1,1,2006
"53",11,NA,"29095",1,1,2006
"54",9,NA,"28047",1,1,2006
"55",4,NA,"28047",1,1,2006
"56",1,NA,"27123",1,1,2006
"57",10,NA,"26081",1,1,2006
"58",11,NA,"24031",1,1,2006
"59",7,NA,"22071",1,2,2006
"60",1,NA,"22071",1,1,2006
"61",8,NA,"21111",1,1,2006
"62",11,NA,"20173",1,1,2006
"63",4,NA,"17031",1,1,2006
"64",10,NA,"12081",1,1,2006
"65",5,NA,"12057",1,1,2006
"66",2,NA,"12057",1,1,2006
"67",5,NA,"12021",1,1,2006
"68",1,NA,"11001",1,1,2006
"69",10,NA,"10005",1,1,2006
"70",2,NA,"09009",1,1,2006
"71",1,NA,"06111",1,1,2006
"72",11,NA,"06095",1,1,2006
"73",2,NA,"06095",1,1,2006
"74",1,NA,"06075",1,1,2006
"75",12,NA,"06073",1,1,2006
"76",10,NA,"06073",1,2,2006
"77",9,NA,"06073",1,2,2006
"78",5,NA,"06073",1,1,2006
"79",2,NA,"06073",1,2,2006
"80",11,NA,"06071",1,1,2006
"81",10,NA,"06071",1,1,2006
"82",5,NA,"06071",1,1,2006
"83",2,NA,"06071",1,1,2006
"84",6,NA,"06067",1,1,2006
"85",12,NA,"06065",1,1,2006
"86",11,NA,"06065",1,1,2006
"87",7,NA,"06047",1,1,2006
"88",6,NA,"06045",1,1,2006
"89",11,NA,"06037",1,1,2006
"90",11,NA,"06025",1,1,2006
"91",7,NA,"06025",1,1,2006
"92",6,NA,"06025",1,1,2006
"93",8,NA,"06001",1,1,2006
"94",2,NA,"05119",1,1,2006
"95",10,NA,"04027",1,2,2006
"96",7,NA,"04027",1,4,2006
"97",1,NA,"04027",1,2,2006
"98",6,NA,"04021",1,1,2006
"99",6,NA,"04019",1,1,2006
"100",10,NA,"04013",1,3,2006
"101",9,NA,"04013",1,3,2006
"102",7,NA,"04013",1,8,2006
"103",5,NA,"04013",1,2,2006
"104",2,NA,"04013",1,3,2006
"105",1,NA,"04013",1,1,2006
"106",7,NA,"04012",1,1,2006
"107",10,NA,"04005",1,1,2006
"108",9,NA,"04003",1,2,2006
"109",10,NA,"01073",1,1,2006
"110",3,NA,"22051",1,1,2006
"111",3,NA,"04021",1,2,2006
"112",3,NA,"04027",1,1,2006
"113",3,NA,"06029",1,1,2006
"114",3,NA,"10003",1,1,2006
"115",6,NA,"37051",1,1,2006
"116",11,NA,"06073",1,1,2006
"117",4,NA,"29225",1,1,2006
"118",4,NA,"29510",1,1,2006
"119",4,NA,"12031",1,1,2006
"120",4,NA,"12073",1,1,2006
"121",4,NA,"12087",1,1,2006
"122",4,NA,"13063",1,1,2006
"123",11,NA,"08019",1,2,2006
"124",11,NA,"06067",1,1,2006
"125",11,NA,"17097",1,1,2006
"126",2,NA,"48367",2,1,2006
"127",10,NA,"04003",2,1,2006
"128",5,NA,"28045",1,1,2006
"129",6,NA,"20173",2,1,2006
"130",5,NA,"04027",1,2,2006
"131",5,NA,"06025",1,1,2006
"132",5,NA,"12051",1,1,2006
"133",6,NA,"06081",2,1,2006
"134",2,NA,"42091",2,1,2006
"135",2,NA,"42101",2,1,2006
"136",8,NA,"06065",1,2,2006
"137",8,NA,"06073",1,1,2006
"138",8,NA,"06025",1,1,2006
"139",8,NA,"12031",1,1,2006
"140",11,NA,"48223",2,1,2006
"141",3,NA,"17031",2,1,2006
"142",5,NA,"34017",2,1,2006
"143",8,NA,"09007",2,1,2006
"144",8,NA,"12031",2,1,2006
"145",8,NA,"34013",1,3,2006
"146",3,NA,"40109",1,1,2006
"147",6,NA,"48355",1,1,2006
"148",6,NA,"22071",1,2,2006
"149",6,NA,"42101",2,1,2006
"150",12,NA,"04003",1,1,2006
"151",11,NA,"06085",2,1,2006
"152",11,NA,"08019",2,1,2006
"153",3,NA,"34003",2,1,2006
"154",3,NA,"42049",1,1,2006
"155",5,NA,"22071",1,1,2006
"156",4,NA,"06073",2,1,2006
"157",12,NA,"06001",1,1,2006
"158",3,NA,"06073",2,1,2006
"159",1,NA,"37051",1,1,2006
"160",1,NA,"06037",2,1,2006
"161",1,NA,"45019",1,1,2006
"162",12,NA,"29095",2,1,2006
"163",2,NA,"04013",2,1,2006
"164",4,NA,"04013",1,2,2006
"165",4,NA,"49035",1,1,2006
"166",8,NA,"18089",1,1,2006
"167",1,NA,"45079",1,1,2006
"168",12,NA,"37183",1,1,2006
"169",12,NA,"29095",1,2,2006
"170",9,NA,"12031",2,1,2006
"171",12,NA,"20173",2,1,2006
"172",3,NA,"17047",1,1,2006
"173",9,NA,"32003",2,1,2006
"174",3,NA,"42101",1,1,2006
"175",12,NA,"48201",1,1,2006
"176",5,NA,"24510",1,1,2006
"177",11,NA,"05001",2,1,2006
"178",12,NA,"04021",1,1,2006
"179",8,NA,"42101",2,1,2006
"180",8,NA,"06007",2,1,2006
"181",3,NA,"04013",1,3,2006
