"","monthdth","age","fips","sex","deaths","year"
"1",5,NA,"47157",2,1,2008
"2",7,NA,"37147",2,1,2008
"3",10,NA,"37133",2,1,2008
"4",5,NA,"37055",2,1,2008
"5",4,NA,"36001",2,1,2008
"6",12,NA,"35045",2,1,2008
"7",10,NA,"28075",2,1,2008
"8",4,NA,"24005",2,1,2008
"9",7,NA,"17179",2,1,2008
"10",3,NA,"17099",2,1,2008
"11",2,NA,"17097",2,1,2008
"12",9,NA,"17031",2,1,2008
"13",1,NA,"10003",2,1,2008
"14",7,NA,"06037",2,1,2008
"15",2,NA,"06037",2,2,2008
"16",2,NA,"04019",2,1,2008
"17",8,NA,"51053",1,1,2008
"18",10,NA,"42101",1,1,2008
"19",3,NA,"42101",1,1,2008
"20",2,NA,"42101",1,1,2008
"21",11,NA,"42091",1,1,2008
"22",9,NA,"40031",1,1,2008
"23",1,NA,"37119",1,1,2008
"24",11,NA,"37051",1,1,2008
"25",4,NA,"37051",1,1,2008
"26",11,NA,"36059",1,1,2008
"27",1,NA,"34039",1,1,2008
"28",7,NA,"34025",1,1,2008
"29",12,NA,"34013",1,1,2008
"30",8,NA,"34013",1,1,2008
"31",2,NA,"34005",1,1,2008
"32",11,NA,"32003",1,1,2008
"33",11,NA,"29213",1,1,2008
"34",8,NA,"28151",1,1,2008
"35",11,NA,"24031",1,1,2008
"36",8,NA,"22071",1,1,2008
"37",2,NA,"22071",1,1,2008
"38",9,NA,"22019",1,1,2008
"39",7,NA,"20173",1,1,2008
"40",10,NA,"18035",1,1,2008
"41",9,NA,"17031",1,1,2008
"42",7,NA,"17031",1,1,2008
"43",2,NA,"13301",1,1,2008
"44",2,NA,"13121",1,1,2008
"45",1,NA,"12127",1,1,2008
"46",9,NA,"12117",1,1,2008
"47",11,NA,"12095",1,1,2008
"48",2,NA,"12057",1,1,2008
"49",1,NA,"12031",1,1,2008
"50",8,NA,"12017",1,1,2008
"51",3,NA,"09001",1,1,2008
"52",1,NA,"08123",1,1,2008
"53",9,NA,"08003",1,1,2008
"54",10,NA,"06101",1,1,2008
"55",10,NA,"06075",1,1,2008
"56",4,NA,"06073",1,1,2008
"57",7,NA,"06071",1,1,2008
"58",2,NA,"06071",1,1,2008
"59",9,NA,"06065",1,1,2008
"60",7,NA,"06041",1,1,2008
"61",10,NA,"06037",1,1,2008
"62",9,NA,"06037",1,1,2008
"63",7,NA,"06037",1,2,2008
"64",6,NA,"06037",1,2,2008
"65",1,NA,"06037",1,1,2008
"66",10,NA,"06025",1,1,2008
"67",9,NA,"06025",1,1,2008
"68",5,NA,"06025",1,1,2008
"69",1,NA,"06025",1,1,2008
"70",4,NA,"04019",1,1,2008
"71",2,NA,"04019",1,2,2008
"72",12,NA,"04015",1,1,2008
"73",9,NA,"04013",1,2,2008
"74",6,NA,"01097",1,1,2008
"75",5,NA,"37051",1,1,2008
"76",3,NA,"04019",1,1,2008
"77",3,NA,"06111",1,1,2008
"78",3,NA,"06037",1,1,2008
"79",5,NA,"06037",2,1,2008
"80",4,NA,"51041",1,1,2008
"81",11,NA,"06037",1,2,2008
"82",11,NA,"06095",1,1,2008
"83",11,NA,"55039",2,1,2008
"84",6,NA,"42101",2,1,2008
"85",5,NA,"28075",1,1,2008
"86",5,NA,"13081",1,1,2008
"87",6,NA,"35043",2,1,2008
"88",6,NA,"36007",2,1,2008
"89",2,NA,"42079",2,1,2008
"90",11,NA,"42101",2,1,2008
"91",3,NA,"42101",2,1,2008
"92",8,NA,"06037",1,1,2008
"93",8,NA,"06047",1,1,2008
"94",8,NA,"18157",1,1,2008
"95",10,NA,"10005",2,1,2008
"96",11,NA,"17165",2,1,2008
"97",5,NA,"45045",1,1,2008
"98",8,NA,"28029",2,1,2008
"99",5,NA,"36103",1,1,2008
"100",4,NA,"06071",2,1,2008
"101",11,NA,"06037",2,1,2008
"102",4,NA,"12115",2,1,2008
"103",10,NA,"36119",1,1,2008
"104",3,NA,"37063",1,1,2008
"105",6,NA,"34025",2,1,2008
"106",9,NA,"24031",2,1,2008
"107",10,NA,"18097",1,1,2008
"108",4,NA,"51173",1,1,2008
"109",10,NA,"42101",2,1,2008
"110",8,NA,"34003",1,1,2008
"111",5,NA,"04019",2,1,2008
"112",2,NA,"28047",1,1,2008
"113",2,NA,"37081",1,1,2008
"114",2,NA,"37127",1,1,2008
"115",3,NA,"37195",1,1,2008
"116",3,NA,"17031",2,1,2008
"117",2,NA,"35045",2,1,2008
"118",11,NA,"12037",2,1,2008
"119",5,NA,"04013",1,1,2008
"120",6,NA,"06037",2,2,2008
"121",12,NA,"53033",2,1,2008
"122",4,NA,"06025",1,1,2008
"123",9,NA,"06037",2,1,2008
"124",3,NA,"17031",1,1,2008
"125",3,NA,"34013",1,1,2008
"126",12,NA,"17031",1,1,2008
"127",6,NA,"42045",1,1,2008
"128",6,NA,"24005",2,1,2008
"129",5,NA,"24005",1,1,2008
"130",6,NA,"42075",1,1,2008
"131",4,NA,"42101",2,1,2008
