"","monthdth","age","fips","sex","deaths","year"
"168",1,NA,"42101",1,1,2007
"169",3,NA,"42045",1,1,2007
"170",12,NA,"48209",1,1,2007
"171",5,NA,"24510",1,1,2007
"172",12,NA,"42101",1,1,2007
"173",11,NA,"12011",1,1,2007
"174",4,NA,"06075",1,1,2007
"175",4,NA,"17031",1,1,2007
"176",2,NA,"48015",1,1,2007
"177",4,NA,"06059",1,1,2007
"178",4,NA,"28023",1,1,2007
